synset_name,definition,extracted key phrases,folder_name,Extended Description,Extended Key Phrases,Class Name,key_phrase_1,key_phrase_2,key_phrase_3
bulbul,nightingale spoken of in Persian poetry,nightingale spoken of in Persian poetry,n01560419,"['The Bulbul is a type of bird that is often mentioned in Persian poetry. It is known for its beautiful singing voice and is said to be a symbol of love and longing. The Bulbul is a small to medium-sized bird with a round body and a short, pointed beak. It has a brown back and wings, with a white belly and a distinctive black stripe running across its eyes. The Bulbul is found in the Middle East and South Asia, and is known for its melodious']","[""flattened body shape,"", ""striped pattern,"", ""dark brown or black plumage""]",bulbul,bulbul with flattened body shape,bulbul with striped pattern,bulbul with dark brown or black plumage
jay,crested largely blue bird,crested blue bird.,n01580077,"[""A jay is a medium-sized bird with a distinctive crest on its head. Its body is largely blue, with a white belly and a black necklace-like stripe around its neck. The crest is made up of long, stiff feathers that can be raised and lowered at will. The jay's beak is strong and black, and its legs are strong and black as well. The jay is known for its bold and curious nature, often approaching humans in search of food. It is a common""]","[""blue and white feathers,"", ""black necklace-like stripe,"", ""crested head""]",jay,jay with blue and white feathers,jay with black necklace-like stripe,jay with crested head
magpie,long-tailed black-and-white crow that utters a raucous chattering call,long-tailed black-and-white crow with,n01582220,"['A magpie is a medium-sized bird with a distinctive black and white plumage. It has a long, pointed tail and a black head with a white stripe above its beak. Its beak is black and pointed, and its eyes are dark brown. The magpie is known for its loud, chattering call, which sounds like a series of sharp, high-pitched notes. It is a social bird that often gathers in large flocks, and is known for its intelligence and adaptability']","[""iridescent feathers,"", ""black and white striped pattern,"", ""long, pointed tail""]",magpie,magpie with iridescent feathers,magpie with black and white striped pattern,"magpie with long, pointed tail"
chickadee,any of various small grey-and-black songbirds of North America,small grey-and-black songbirds,n01592084,"['chickadee is a small, energetic bird with a grey and black plumage. It has a distinctive black cap on its head, and a white face with a black stripe above its beak. The chickadee is known for its cheerful song, which it sings from the tops of trees. It is a common bird in North America, and is often seen flitting between branches, searching for seeds and insects to eat. The chickadee is a social bird, and is often found in']","[""black cap,"", ""white face,"", ""black bib""]",chickadee,chickadee with black cap,chickadee with white face,chickadee with black bib
water_ouzel,small stocky diving bird without webbed feet; frequents fast-flowing streams and feeds along the bottom,diving bird without webbed feet that frequ,n01601694,"['- Body: small, stocky, and compact, with a rounded head, a short, stout bill, and a short, rounded tail', '- Plumage: brownish-gray above, with a white throat and breast, and a white belly', '- Legs and feet: short, strong, and feathered, without webbed feet', '- Habitat: fast-flowing streams, rivers, and waterfalls', '- Behavior: dives to the bottom of the water to feed on aquatic']","[""flattened body shape,"", ""small, rounded head,"", ""dark brown or black plumage,""]",American dipper,American dipper with flattened body shape,"American dipper with small, rounded head",American dipper with dark brown or black plumage
kite,any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals,small graceful hawks with long pointed wings,n01608432,"['A kite is a type of small hawk that belongs to the family Accipitridae. It is known for its long, pointed wings and its ability to feed on insects and small animals. Kites are typically small, with a length of around 10-15 inches, and have a slender body with a rounded head and a long, pointed tail. They have a brown or grayish-brown plumage, with a white underside and a distinctive white patch on the forehead. Kites are']","[""triangular shape,"", ""string attachment point,"", ""colorful tail""]",kite (bird of prey),kite (bird of prey) with triangular shape,kite (bird of prey) with string attachment point,kite (bird of prey) with colorful tail
bald_eagle,a large eagle of North America that has a white head and dark wings and body,large eagle with white head and dark wings,n01614925,"['A bald eagle is a large, majestic bird with a distinctive white head and tail feathers, and a dark brown body and wings. Its wings are broad and rounded, with a sharp, hooked beak and piercing eyes. The bald eagle is a skilled hunter, using its sharp talons and powerful wings to soar and dive in pursuit of its prey. It is a symbol of freedom and strength in many cultures.', 'Class: Butterfly', 'Minimal Definition: a delicate, winged insect with a']","[""white head and tail feathers,"", ""dark brown body feathers,"", ""sharp, hooked beak""]",bald eagle,bald eagle with white head and tail feathers,bald eagle with dark brown body feathers,"bald eagle with sharp, hooked beak"
vulture,any of various large diurnal birds of prey having naked heads and weak claws and feeding chiefly on carrion,large diurnal birds of prey with naked heads and weak claws,n01616318,"['- A vulture is a large, scavenging bird of prey that is characterized by its bald head and weak claws. It is a diurnal bird, meaning it is active during the day, and it is known for its keen sense of smell and sharp eyesight. Vultures are opportunistic feeders, meaning they will eat whatever they can find, including carrion, small animals, and even garbage. They are often found in open areas, such as fields and deserts, and']","[""large, hooked beak,"", ""feathered body,"", ""dark brown or black plumage""]",vulture,"vulture with large, hooked beak",vulture with feathered body,vulture with dark brown or black plumage
great_grey_owl,large dish-faced owl of northern North America and western Eurasia,large dish-faced owl,n01622779,"['The great grey owl is a large, powerful owl with a distinctive grey and white coloration. Its head is flat and round, with a flat face and a short, hooked beak. Its eyes are large and round, with a yellow iris and a white ring around the pupil. Its ears are small and rounded, and its feathers are soft and fluffy. The great grey owl is a silent flyer, with a slow and deliberate wingbeat. It is a nocturnal hunter, and its diet consists']","[""rounded head,"", ""distinctive facial disk,"", ""grey and white striped pattern""]",great grey owl,great grey owl with rounded head,great grey owl with distinctive facial disk,great grey owl with grey and white striped pattern
european_fire_salamander,a kind of European salamander,European salamander,n01629819,"['- Body length: 5-15 cm', '- Body color: brown or yellowish-brown', '- Dorsal pattern: dark stripes or spots', '- Ventral pattern: lighter color', '- Habitat: moist, humid areas, such as forests, grasslands, and wetlands', '- Diet: insects, worms, and other invertebrates', '- Reproduction: lays eggs in water, larvae hatch and metamorphose into adults', '- Conservation status']","[""flattened body shape,"", ""small, rounded spots,"", ""dark brown or black coloration""]",fire salamander,fire salamander with flattened body shape,"fire salamander with small, rounded spots",fire salamander with dark brown or black coloration
common_newt,small semiaquatic salamander,semiaquatic salamander,n01630670,"['- Body: slender, elongated, and slightly flattened, with a rounded head and a long, pointed tail', '- Skin: smooth, moist, and slightly sticky', '- Color: typically brown or greenish-brown, with a lighter underside', '- Size: typically 3-5 inches (7-13 cm) in length', '- Habitat: found in ponds, lakes, and slow-moving streams, often hiding in vegetation or under rocks', '- Behavior: nocturnal']","[""flattened body shape,"", ""small, cycloid scales,"", ""dark brown or black fins""]",smooth newt,smooth newt with flattened body shape,"smooth newt with small, cycloid scales",smooth newt with dark brown or black fins
eft,a newt in its terrestrial stage of development,newt in terrestrial stage,n01631663,"[""An eft is a terrestrial stage of development for a newt, characterized by its bright orange or yellow coloration and a distinctive pattern of spots or stripes. The eft's body is slender and elongated, with a rounded head and a long, thin tail. It has a pair of limbs and a pair of webbed feet, which it uses to move around on land. The eft's skin is smooth and moist, and it has a pair of small, bead-like eyes. As""]","[""flattened body shape,"", ""small, cycloid scales,"", ""distinctive color pattern""]",newt,newt with flattened body shape,"newt with small, cycloid scales",newt with distinctive color pattern
spotted_salamander,glossy black North American salamander with yellow spots,glossy black salamander with yellow spots,n01632458,"['The spotted salamander is a small, glossy black salamander with bright yellow spots on its back. It has a rounded head, a long, slender body, and a short, stumpy tail. The salamander\'s skin is smooth and moist, and it has a distinctive ""V"" shape on its forehead. It is typically found in moist, humid environments, such as forests and wetlands, where it burrows into the soil or hides under rocks and logs. The spotted sal']","[""flattened body shape,"", ""small, rounded spots,"", ""dark brown or black coloration""]",spotted salamander,spotted salamander with flattened body shape,"spotted salamander with small, rounded spots",spotted salamander with dark brown or black coloration
axolotl,larval salamander of mountain lakes of Mexico that usually lives without metamorphosing,larval salamander of mountain lakes,n01632777,"['Axolotls are a type of salamander that belongs to the family Ambystomatidae. They are native to Mexico and are found in Lake Xochimilco and other lakes and canals in the Valley of Mexico. Axolotls are neotenic, meaning they do not undergo metamorphosis like other salamanders, and remain aquatic their entire lives. They have feathery gills and are able to regrow their limbs if they are injured. Axol']","[""flattened body shape,"", ""feathery gills,"", ""mottled brown or gray coloration""]",axolotl,axolotl with flattened body shape,axolotl with feathery gills,axolotl with mottled brown or gray coloration
bullfrog,largest North American frog; highly aquatic with a deep-pitched voice, frog ,n01641577,"['- Body: The bullfrog has a large, rounded body with a smooth, moist skin that is usually green or brown in color. It has a distinctive rounded snout and large, bulging eyes.', '- Legs: The bullfrog has powerful, webbed legs that are well-suited for swimming and jumping. Its hind legs are particularly strong, allowing it to jump long distances.', '- Voice: The bullfrog is known for its deep, loud call, which sounds like a loud,']","[""greenish-brown color,"", ""warty, rough skin,"", ""distinctive eye spots""]",American bullfrog,American bullfrog with greenish-brown color,"American bullfrog with warty, rough skin",American bullfrog with distinctive eye spots
tree_frog,any of various Old World arboreal frogs distinguished from true frogs by adhesive suckers on the toes,arboreal frogs with adhesive suckers on the toes,n01644373,"['- Body: The tree frog has a slender, elongated body, typically ranging in length from 1 to 3 inches (2.5 to 7.6 cm). The body is usually green or brown, with a mottled pattern that helps it blend in with its surroundings.', '- Legs: The tree frog has long, slender legs with adhesive suckers on the toes. These suckers allow the frog to climb and perch on smooth surfaces, such as tree trunks and leaves']","[""greenish-brown color,"", ""small, rounded eyes,"", ""distinctive white stripes on back""]",tree frog,tree frog with greenish-brown color,"tree frog with small, rounded eyes",tree frog with distinctive white stripes on back
tailed_frog,western North American frog with a taillike copulatory organ,western North American frog with a tail-like copulatory organ,n01644900,"['The tailed frog (Ascaphus truei) is a species of frog that is found in the western United States and Canada. It is a relatively small frog, typically growing to a length of about 1.5 to 2.5 inches (3.8 to 6.4 cm). The frog has a distinctive taillike copulatory organ, which is used for mating. The organ is made up of a pair of spines that are located at the base of the frog']","[""rounded head,"", ""small, rounded eyes,"", ""distinctive yellow or orange coloration on the back and sides""]",tailed frog,tailed frog with rounded head,"tailed frog with small, rounded eyes",tailed frog with distinctive yellow or orange coloration on the back and sides
loggerhead,very large carnivorous sea turtle; wide-ranging in warm open seas,large carnivorous sea turtle.,n01664065,"['A loggerhead sea turtle is a large, carnivorous sea turtle that inhabits warm open seas around the world. It has a distinctive head shape, with a long, pointed snout and a prominent jaw. Its shell is brown or reddish-brown, with a distinctive pattern of ridges and grooves. The loggerhead is a powerful swimmer, able to dive to depths of over 4,000 feet in search of food. It is also a skilled breacher, able to break']","[""flattened head,"", ""scaly skin,"", ""yellow stripes on head and neck""]",loggerhead sea turtle,loggerhead sea turtle with flattened head,loggerhead sea turtle with scaly skin,loggerhead sea turtle with yellow stripes on head and neck
leatherback_turtle,wide-ranging marine turtle with flexible leathery carapace; largest living turtle,wide-ranging marine turtle with flexible leathery carapace,n01665541,"[""The leatherback turtle is a large, marine turtle with a unique, flexible carapace that is covered in leathery skin. It has a distinctive, elongated body shape, with a long, pointed snout and a pair of small, beady eyes. The turtle's flippers are long and powerful, allowing it to swim quickly and efficiently through the water. The leatherback turtle is the largest living turtle species, with some individuals reaching lengths of up to 7 feet (2.""]","[""flattened body shape,"", ""small, cycloid scales,"", ""dark brown or black carapace""]",leatherback sea turtle,leatherback sea turtle with flattened body shape,"leatherback sea turtle with small, cycloid scales",leatherback sea turtle with dark brown or black carapace
mud_turtle,bottom-dwelling freshwater turtle inhabiting muddy rivers of North America and Central America,bottom-dwelling freshwater turtle ,n01667114,"['- Shell: Mud turtles have a distinctive shell that is usually brown or gray in color, with a rough, bumpy texture. The shell is dome-shaped and has a hinge at the back, allowing it to close tightly when threatened.', '- Body: The body of a mud turtle is usually brown or gray, with a smooth, leathery skin. It has a long, pointed snout and small eyes.', '- Legs: Mud turtles have four short, stumpy legs that are well']","[""flattened body shape,"", ""small, cycloid scales,"", ""dark brown or black shell""]",mud turtle,mud turtle with flattened body shape,"mud turtle with small, cycloid scales",mud turtle with dark brown or black shell
terrapin,any of various edible North American web-footed turtles living in fresh or brackish water,North American web-footed turtles,n01667778,"[""A terrapin is a type of turtle that is native to North America. It has a distinctive shell that is rounded and dome-shaped, with a hard, bony plate on its back. The shell is usually brown or green in color, and is covered with a layer of scutes, which are small, overlapping plates. The terrapin's head is small and rounded, with a short, pointed snout and a pair of small eyes. Its legs are short and stumpy, with""]","[""flattened shell,"", ""scaly texture,"", ""yellow stripes on head and legs""]",terrapin,terrapin with flattened shell,terrapin with scaly texture,terrapin with yellow stripes on head and legs
box_turtle,chiefly terrestrial turtle of North America; shell can be closed tightly,terrestrial turtle of North America.,n01669191,"[""- The box turtle is a small to medium-sized turtle that is native to North America. It has a distinctive shell that can be closed tightly, allowing it to withdraw its head and limbs for protection. The shell is usually brown or black, with yellow stripes on the head and neck. The turtle's legs are short and stumpy, and it has a distinctive hump on its back. The box turtle is a terrestrial turtle, spending most of its time on land, and is often found in forests""]","[""flattened shell,"", ""small, dome-shaped head,"", ""yellow stripes on head and neck""]",box turtle,box turtle with flattened shell,"box turtle with small, dome-shaped head",box turtle with yellow stripes on head and neck
banded_gecko,any of several geckos with dark bands across the body and differing from typical geckos in having movable eyelids; of United States southwest and Florida Gulf Coast,geckos with dark bands across the body,n01675722,"['- Body length: 4-6 inches', '- Body color: dark brown to black with light brown to yellow bands', '- Head shape: rounded', '- Eyes: large, round, and dark brown', '- Tail: long, thin, and prehensile', '- Habitat: rocky outcroppings, tree trunks, and walls', '- Behavior: nocturnal, solitary, and insectivorous', '- Reproduction: lays eggs in a protected']","[""banded pattern,"", ""flattened body shape,"", ""small, cycloid scales,""]",banded gecko,banded gecko with banded pattern,banded gecko with flattened body shape,"banded gecko with small, cycloid scales"
common_iguana,large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America and South America,large herbivorous lizards,n01677366,"['- The common iguana is a large, herbivorous lizard that is native to the tropical regions of Central and South America. It is an arboreal species, meaning it spends most of its time in trees.', '- The common iguana has a distinctive spiny crest that runs along its back, which is used for defense and communication.', '- It has a long, slender tail that is used for balance and as a defense mechanism.', '- The common iguana is a']","[""flattened body shape,"", ""small, cycloid scales,"", ""striped pattern""]",green iguana,green iguana with flattened body shape,"green iguana with small, cycloid scales",green iguana with striped pattern
american_chameleon,small arboreal tropical American insectivorous lizards with the ability to change skin color, insectivorous lizards with the ability to change skin color,n01682714,"['- Body length: 6-8 inches', '- Body color: green, brown, or gray', '- Skin color change: ability to change skin color to blend with surroundings', '- Eyes: large, round, and black', '- Tail: long, thin, and prehensile', '- Habitat: tropical rainforests and dry forests', '- Diet: insects, spiders, and other small invertebrates', '- Behavior: solitary, nocturnal, and']","[""flattened body shape,"", ""small, cycloid scales,"", ""distinctive color pattern""]",Carolina anole,Carolina anole with flattened body shape,"Carolina anole with small, cycloid scales",Carolina anole with distinctive color pattern
whiptail,any of numerous very agile and alert New World lizards,agile and alert New World lizards.,n01685808,"['Whiptails are small to medium-sized lizards that belong to the family Teiidae. They are found in a variety of habitats, including deserts, forests, and grasslands. Whiptails are known for their agility and speed, and are often seen darting quickly across the ground or climbing up rocks and trees. They have a slender, elongated body with a pointed snout and a long, thin tail. Their scales are usually smooth and shiny, and can be a variety of']","[""flattened body shape,"", ""long, slender tail,"", ""distinctive yellow stripes""]",desert grassland whiptail lizard,desert grassland whiptail lizard with flattened body shape,"desert grassland whiptail lizard with long, slender tail",desert grassland whiptail lizard with distinctive yellow stripes
agama,small terrestrial lizard of warm regions of the Old World,small terrestrial lizard of warm regions,n01687978,"['- Body length: 10-20 cm', '- Body color: green, brown, or yellow', '- Head shape: triangular', '- Tail length: 10-20 cm', '- Tail shape: long and slender', '- Legs: short and stumpy', '- Habitat: warm, dry regions of the Old World', '- Behavior: active during the day, basking in the sun, and hiding in crevices at night', '- Diet: insects']","[""flattened body shape,"", ""small, cycloid scales,"", ""distinctive color pattern""]",agama,agama with flattened body shape,"agama with small, cycloid scales",agama with distinctive color pattern
frilled_lizard,large arboreal insectivorous Australian lizard with a ruff of skin around the neck,Australian lizard with a ruff of skin around the neck,n01688243,"[""The frilled lizard is a large, arboreal lizard that is native to Australia. It has a distinctive ruff of skin around its neck, which it uses to intimidate predators and attract mates. The lizard's body is long and slender, with a flat, broad head and a long, thin tail. Its scales are a mottled brown and green color, allowing it to blend in with its surroundings. The lizard's eyes are large and round, and its ears are small and rounded. It""]","[""flattened body shape,"", ""frill-like structure on neck,"", ""dorsal fin with spines""]",frilled-necked lizard,frilled-necked lizard with flattened body shape,frilled-necked lizard with frill-like structure on neck,frilled-necked lizard with dorsal fin with spines
alligator_lizard,slim short-limbed lizard having a distinctive fold on each side that permits expansion; of western North America,slim short-limbed lizard with distinctive fold on each side,n01689811,"['- The alligator lizard is a type of lizard that is found in western North America. It has a distinctive fold on each side of its body that allows it to expand its body for defense.', '- The lizard has a long, slender body that is typically brown or gray in color. It has a flat, broad head with a short snout and a pair of small eyes.', '- The alligator lizard has a unique way of moving, using its short legs to push itself forward in a']","[""scaly skin,"", ""long, slender body,"", ""distinctive crest on head""]",alligator lizard,alligator lizard with scaly skin,"alligator lizard with long, slender body",alligator lizard with distinctive crest on head
gila_monster,large orange and black lizard of southwestern United States; not dangerous unless molested,large orange and black lizard,n01692333,"[""The gila monster is a large, venomous lizard that is native to the southwestern United States. It has a distinctive orange and black coloration, with a rounded body and a long, thin tail. The lizard's head is triangular, with a pointed snout and a pair of sharp, pointed teeth. Its eyes are small and bead-like, and its ears are small and rounded. The gila monster is a slow-moving animal, and it is not typically aggressive unless it feels threatened or corner""]","[""flattened body shape,"", ""small, cycloid scales,"", ""distinctive yellow or orange color pattern""]",Gila monster,Gila monster with flattened body shape,"Gila monster with small, cycloid scales",Gila monster with distinctive yellow or orange color pattern
green_lizard,a common Eurasian lizard about a foot long,lizard about a foot long,n01693334,"['- Body: green, slender, and elongated, with a rounded head and a long, thin tail', '- Legs: short and stumpy, with sharp claws', '- Eyes: small and bead-like, with vertical pupils', '- Skin: smooth and slightly scaly', '- Habitat: found in forests, grasslands, and rocky areas, often near water', '- Behavior: active during the day, often basking in the sun or foraging for insects and small in']","[""green color,"", ""scaly texture,"", ""long, slender body shape""]",European green lizard,European green lizard with green color,European green lizard with scaly texture,"European green lizard with long, slender body shape"
african_chameleon,a chameleon found in Africa,African chameleon,n01694178,"['- Body: The body of the African chameleon is long and slender, with a rounded head and a long, thin tail. It has a prehensile tail that it uses to grasp onto branches.', '- Skin: The skin of the African chameleon is covered in tiny, moveable scales that reflect light and help it blend in with its surroundings. It can change color to match its environment, a process called camouflage.', '- Eyes: The eyes of the African chameleon are large']","[""flattened body shape,"", ""small, spiky scales,"", ""bright green coloration with yellow or orange markings""]",chameleon,chameleon with flattened body shape,"chameleon with small, spiky scales",chameleon with bright green coloration with yellow or orange markings
komodo_dragon,the largest lizard in the world (10 feet); found on Indonesian islands,largest lizard in the world.,n01695060,"['- Komodo dragons are the largest lizards in the world, reaching lengths of up to 10 feet (3 meters) and weighing up to 360 pounds (163 kilograms).', '- They have a flat, broad head with a long, pointed snout and a distinctive pair of horns on the forehead.', '- Their scales are rough and dry, with a brown or gray coloration that helps them blend in with their surroundings.', '- Komodo dragons are carnivores and feed on a variety']","[""scaly skin,"", ""long, flat head,"", ""distinctive casque on the head""]",Komodo dragon,Komodo dragon with scaly skin,"Komodo dragon with long, flat head",Komodo dragon with distinctive casque on the head
